year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1790,-,1790-01-08,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1789-1793,1,1,Midterm,Peace,Peace
1790,-,1790-12-08,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1789-1793,1,1,Midterm,Peace,Peace
1791,-,1791-08-25,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1789-1793,2,1,Midterm,Peace,Peace
1792,1792-11-02,1792-11-06,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1789-1793,3,1,Reelected,Peace,Peace
1793,-,1793-12-03,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1793-1797,4,1,Midterm,Peace,Peace
1794,1794-08-24,1794-11-19,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,16/30,Independent,1793-1797,5,2,Midterm,Peace,Peace
1795,-,1795-12-08,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,21/32,Independent,1793-1797,6,2,Midterm,Peace,Peace
1796,1796-11-04,1796-12-07,speech,George Washington,1732-02-22,Virginia ,Virginia ,Colonial South,Nonpartisan,21/32,Independent,1793-1797,7,2,Lame Duck ,Peace,Peace
1797,-,1797-11-22,speech,John Adams,1735-10-30,Massachusettes,Massachusettes,New England,Federalist,22/32,Liberal,1797-1801,1,1,Newly Elected,Peace,Peace
1798,1798-04-24,1798-12-08,speech,John Adams,1735-10-30,Massachusettes,Massachusettes,New England,Federalist,22/32,Liberal,1797-1801,2,1,Midterm,Peace,Peace
1799,-,1799-12-03,speech,John Adams,1735-10-30,Massachusettes,Massachusettes,New England,Federalist,22/32,Liberal,1797-1801,3,1,Midterm,Peace,Peace
1800,1800-10-31,1800-11-11,speech,John Adams,1735-10-30,Massachusettes,Massachusettes,New England,Federalist,22/32,Liberal,1797-1801,4,1,Lame Duck ,Peace,Peace
1801,-,1801-12-08,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,17/34,Conservative,1801-1805,1,1,Newly Elected,Peace,Peace
1802,1802-04-26,1802-12-15,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,17/34,Conservative,1801-1805,2,1,Midterm,Peace,Peace
1803,-,1803-10-17,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,25/34,Conservative,1801-1805,3,1,Midterm,Peace,Peace
1804,1804-11-02,1804-11-08,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,25/34,Conservative,1801-1805,4,1,Reelected,Peace,Peace
1805,-,1805-12-03,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,27/34,Conservative,1805-1809,5,2,Midterm,Peace,Peace
1806,1806-04-29,1806-12-02,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,27/34,Conservative,1805-1809,6,2,Midterm,Peace,Peace
1807,-,1807-10-27,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,28/34,Conservative,1805-1809,7,2,Midterm,Peace,Peace
1808,1808-11-04,1808-11-08,written,Thomas Jefferson,1743-04-13,Virginia ,Virginia ,Colonial South,Democratic-Republican,28/34,Conservative,1805-1809,8,2,Lame Duck ,Peace,Peace
1809,-,1809-11-29,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,27/34,Conservative,1809-1813,1,1,Newly Elected,Peace,Peace
1810,1810-04-24,1810-12-05,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,27/34,Conservative,1809-1813,2,1,Midterm,Peace,Peace
1811,-,1811-11-05,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,30/36,Conservative,1809-1813,3,1,Midterm,Peace,Peace
1812,1812-10-30,1812-11-04,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,30/36,Conservative,1809-1813,4,1,Newly Reelected,Declared,War
1813,-,1813-12-07,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,28/36,Conservative,1813-1817,5,2,Midterm,Declared,War
1814,1814-04-26,1814-09-20,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,28/36,Conservative,1813-1817,6,2,Midterm,Declared,War
