year,sotu_date,sotu_date,Bus_cycle,recession,Gini,GNI_med,GNI_avg,pct_employ,NDI_med,NDI_avg
1790,1790-01-08,1790-01-08,,,,,,,,
1790,1790-12-08,1790-12-08,,,,,,,,
1791,1791-08-25,1791-08-25,,,,,,,,
1792,1792-11-06,1792-11-06,,,,,,,,
1793,1793-12-03,1793-12-03,,,,,,,,
1794,1794-11-19,1794-11-19,,,,,,,,
1795,1795-12-08,1795-12-08,,,,,,,,
1796,1796-12-07,1796-12-07,,,,,,,,
1797,1797-11-22,1797-11-22,,,,,,,,
1798,1798-12-08,1798-12-08,,,,,,,,
1799,1799-12-03,1799-12-03,,,,,,,,
1800,1800-11-11,1800-11-11,0.969650986,,,,,,,
1801,1801-12-08,1801-12-08,0.930197269,,,,,,,
1802,1802-12-15,1802-12-15,0.893778452,,,,,,,
1803,1803-10-17,1803-10-17,0.863429439,,,,,,,
1804,1804-11-08,1804-11-08,0.823975721,,,,,,,
1805,1805-12-03,1805-12-03,0.784522003,,,,,,,
1806,1806-12-02,1806-12-02,0.748103187,,,,,,,
1807,1807-10-27,1807-10-27,0.717754173,,,,,,,
1808,1808-11-08,1808-11-08,0.678300455,,,,,,,
1809,1809-11-29,1809-11-29,0.641881639,,,,,,,
1810,1810-12-05,1810-12-05,0.602427921,,,,,,,
1811,1811-11-05,1811-11-05,0.569044006,,,,,,,
1812,1812-11-04,1812-11-04,0.53262519,,,,,,,
1813,1813-12-07,1813-12-07,0.493171472,,,,,,,
1814,1814-09-20,1814-09-20,0.46585736,,,,,,,
1815,1815-12-05,1815-12-05,0.420333839,,,,,,,
1816,1816-12-03,1816-12-03,0.383915023,,,,,,,
1817,1817-12-12,1817-12-12,0.347496206,,,,,,,
1818,1818-11-16,1818-11-16,0.314112291,,,,,,,
1819,1819-12-07,1819-12-07,0.274658574,,,,,,,
1820,1820-11-14,1820-11-14,0.241274659,,,,,,,
1821,1821-12-03,1821-12-03,0.201820941,,,,,,,
1822,1822-12-03,1822-12-03,0.165402124,,,,,,,
